site_no,lat,long,drainage_area_km2,huc_cd,huc_region,station_nm,state_cd,altitude_m,dam_closure,closure_year,concave_convex,sampling_start,sampling_end,breakpoint,slope_low,std_err_low,p_low,slope_high,std_err_high,p_high,slope_diff_p,concave_not,1 yr,2 yr,5 yr,10 yr,25 yr,50 yr,100 yr,200 yr,break_2yr_ratio
01015000,47.15980556,-67.9311694,21815.46985053,01010001,01,"ST. JOHN RIVER AT VAN BUREN, ME",23,124.263912,No_closure,NA,concave,1978,1994,2.63001,1.1792661908785222,0.16595644790400615,6.626116460751603e-10,2.303287459612488,0.2198544135428294,1.2431278903945624e-10,2.246526528189916e-5,concave,2236.1498848747297,2959.463632844224,3356.6012130675617,3605.4817646582505,3907.2486712943087,4125.66761084881,4339.536396208343,4551.47721180804,0.14414414035597017
01021050,45.17,-67.2966667,3768.43270005,01050001,01,"St. Croix River at Milltown, Maine",23,NA,No_closure,NA,concave,1975,1994,2.09465,0.8420139829250372,0.15421683606442715,3.024223645247173e-7,2.1668145213734236,1.0417277004394987,0.05508455418956322,0.1041916309206305,convex or no inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA
01036390,44.82666667,-68.6966667,19463.76064665,01020005,01,"Penobscot River at Eddington, Maine",23,2.19456,No_closure,NA,convex,1979,1994,2.05368,-7.608340099248794,0.435858588782592,0.03643018691405894,1.5892205280649143,0.16071746747975318,2.7029999405378903e-15,1.517139416073408e-87,convex or no inflection,605.5827075894508,2363.737399468926,3529.0010805720663,4271.663100462268,5167.989185396636,5802.540157771273,6406.708262576187,6991.622417471637,0.0478719119725355
01049130,44.49818889,-69.4861306,7.5627652812,01030003,01,"JOHNSON BROOK AT SOUTH ALBION,ME",23,68.58,No_closure,NA,convex,1980,1984,-0.713665,1.2369261960043125,0.041268702644412354,7.726789797484449e-105,0.9197069172841326,0.06845801129970579,4.169471150240518e-36,3.6168527118161454e-5,convex or no inflection,0.658565646140016,2.030093717202056,3.277598496661637,4.275639724401781,5.748283724348949,7.009800439076092,8.413373992919595,9.98242533207454,0.0952398960812563
01049265,44.4722222,-69.68388889,13993.705758330001,01030003,01,"Kennebec River at North Sidney, Maine",23,4.608576,No_closure,NA,concave,1979,2e3,2.60249,1.3320133503108325,0.1900742217516386,3.2162590639277395e-10,3.225385698272661,0.4407451519844872,4.488089921213252e-7,3.995690357439406e-5,concave,546.3851350800645,1851.3650622456726,2756.4373471191075,3362.5625316032047,4130.043738763256,4699.176904343229,5264.0325529668435,5831.081788267777,0.2162708246608004
01054200,44.39055556,-70.9797222,180.263172456,01040002,01,"Wild River at Gilead, Maine",23,208.20888000000002,No_closure,NA,concave,1969,1996,1.09156,0.9745669616990232,0.06826977823138407,8.650757728366592e-28,2.6660749765693645,0.1995362262113713,3.826617141462479e-8,5.256008068052989e-16,concave,43.90994652423189,256.0229619266228,430.15394730873857,550.8237472437612,704.8809764862823,818.9068343769475,930.9537926495411,1042.444070163986,0.04822598229614846
01059400,43.9175799,-69.9731058,8894.01916974,01040002,01,"ANDROSCOGGIN RIVER AT BRUNSWICK, ME",23,NA,No_closure,NA,concave,1976,1995,2.02808,0.6315189498641567,0.45896117353716803,0.1762995356535159,1.6500834591866194,0.1934022079216433,6.696715247171047e-13,0.020421438616556646,concave,NA,NA,NA,NA,NA,NA,NA,NA,NA
01066000,43.80805556,-70.7816667,3348.85462623,01060002,01,"Saco River at Cornish, Maine",23,80.308704,No_closure,NA,convex,1975,1995,1.39333,-0.4130617541732788,0.7660381346751759,0.5939984254840293,1.7837399449801952,0.11614417705892592,3.385433305985431e-30,0.0022888408084411217,convex or no inflection,155.08552364551352,384.15763779327153,533.4737720198596,633.3339490784693,760.4383134173639,855.8171051846065,951.5852105721389,1049.0312362481905,0.0643903117524947
01096550,42.6389799,-71.3708955,10100.953629000001,01070002,01,"MERRIMACK RIVER ABOVE LOWELL, MA",25,NA,No_closure,NA,concave,1977,1995,2.41331,0.9115649778645956,0.20329631561172745,2.7971372898036197e-5,2.11812290441547,0.3732419549737358,7.616742752079973e-6,0.0022638202416472193,concave,NA,NA,NA,NA,NA,NA,NA,NA,NA
01100000,42.64592464,-71.2983937,12004.594889850001,01070002,01,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",25,1.578864,No_closure,NA,concave,1967,1972,2.21054,0.8229978734329205,0.04306096703177368,4.045215477533227e-70,2.276110611339994,0.039342995990022736,6.459787204117895e-300,2.6951945660964364e-137,concave,601.1742612727471,1146.787783058833,1621.2438003599461,1995.1148956525606,2542.0869862983172,3007.568195734178,3527.1452130083912,4108.126487518993,0.14159794232729747
01102500,42.4474568,-71.1380816,63.45470869500001,01090001,01,"ABERJONA RIVER AT WINCHESTER, MA",25,4.572,No_closure,NA,concave,1999,2004,0.304521,1.2129620676848094,0.051689815333646194,3.1195814350901754e-42,1.6492359328866038,0.20695831603754214,1.7755944065923104e-7,0.020417427726956892,concave,3.196740269669332,10.392928907842032,17.652230649769074,23.849587031158187,33.44523613306813,42.045026787336596,52.00586176981043,63.55842752240529,0.1939916529082261
01104615,42.3648189,-71.18977668,701.88677781,01090001,01,"CHARLES RIVER ABOVE WATERTOWN DAM AT WATERTOWN, MA",25,2.4384,No_closure,NA,convex,1999,2011,0.339256,2.1090000012523027,0.45742604714737706,5.998650138931387e-4,1.1248849196184012,0.06984920699151388,2.9859538599020827e-31,0.016719745688372225,convex or no inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA
01111230,42.0228757,-71.5722859,681.1668729300001,01090003,01,"BLACKSTONE RIVER AT MILLVILLE, MA",25,NA,No_closure,NA,concave,1979,2009,1.45148,0.8995855503054415,0.1696978128273253,1.3477592478063452e-6,2.1400021717627777,0.5537347825765162,0.0038197249170228396,0.016105887052538903,concave,NA,NA,NA,NA,NA,NA,NA,NA,NA
01111500,41.99648716,-71.56200758,236.20691563200003,01090003,01,"BRANCH RIVER AT FORESTDALE, RI",44,54.864000000000004,No_closure,NA,concave,1997,2019,1.02227,0.9500873493218598,0.0692172973428284,6.36033178891469e-27,2.2604474060101216,0.2489925858311701,1.7553125111312453e-7,1.9851345406647274e-7,concave,15.673051050969335,50.30846732036766,80.42975122638406,103.90380970905174,137.6283664543076,165.66336815046236,196.39640157286664,230.06249304746842,0.2092323888591383
01112900,41.97120979,-71.4700599,1115.3265798093,01090003,01,"BLACKSTONE RIVER AT MANVILLE, RI",44,NA,No_closure,NA,concave,1993,2019,1.50023,0.9224449318578992,0.11726054058853305,2.0148017297510056e-12,2.345860601565631,0.24869402042463362,2.037193828210256e-12,1.1276797198179307e-7,concave,NA,NA,NA,NA,NA,NA,NA,NA,NA
01113895,41.8884331,-71.38144467,1227.65436414,01090003,01,BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI,44,6.096,No_closure,NA,concave,2007,2019,1.64028,1.0683118100666529,0.08382345006178409,2.926108982937912e-23,2.340737282073526,0.23332519578188873,4.9982392143187186e-9,1.4311815433290433e-7,concave,83.67776491997012,213.61483143771247,318.29039778268253,397.1287238696381,508.0867646923888,599.3381512059293,697.6848875968082,804.424595758323,0.2044789456801027
01116617,41.7676007,-71.4053335,NA,01090004,01,"PAWTUXET RIVER AT PAWTUXET, RI",44,NA,No_closure,NA,concave,1993,2019,1.42534,0.8770914412450548,0.14971460787781055,9.099794900900431e-8,1.6094842502332734,0.4749703239592173,0.01162159440980869,0.07069333986483375,convex or no inflection,NA,NA,NA,NA,NA,NA,NA,NA,NA
01118500,41.38371065,-71.8331247,764.0464924500001,01090005,01,"PAWCATUCK RIVER AT WESTERLY, RI",44,-0.816864,No_closure,NA,convex,1978,2019,0.344788,2.5059385759796364,0.7913511225008759,0.013261239439414084,1.2345214440287022,0.07014940391266114,6.378900434685535e-43,0.054758765275160916,convex or no inflection,38.36650348085693,66.40571732487146,94.72568612459337,118.53421751556743,155.4048428011669,188.34477372522622,226.60195802630525,271.2680702485621,0.03331060553979705
01125415,41.96565287,-71.9620179,52.317759822,01100001,01,"MUDDY BROOK AT CHILDS HILL RD NR WOODSTOCK, CT.",09,NA,No_closure,NA,concave,1980,1983,0.0031899,1.036401066347461,0.023083654119861716,4.5565880525268666e-243,2.1571272682678844,0.07717044145527521,9.902413172651191e-93,2.6185740318115e-44,concave,NA,NA,NA,NA,NA,NA,NA,NA,NA
01127500,41.5587094,-72.1214666,231.28593822300002,01100003,01,"YANTIC RIVER AT YANTIC, CT",09,28.507944000000002,No_closure,NA,concave,1976,1980,1.01418,1.0256572117871885,0.015643290080375984,0,2.3685114004784156,0.09726272568625488,1.9188166882623727e-66,1.3047928882592835e-42,concave,23.079985666162756,76.46215388905408,123.80652609527434,161.054063164827,214.95911922815316,260.04953592113543,309.71743878335525,364.36758818274336,0.13512430473258819
01144000,43.71423614,-72.418149,1787.0917959,01080105,01,"WHITE RIVER AT WEST HARTFORD, VT",50,114.156744,No_closure,NA,concave,1967,2005,1.33467,0.6365363193422438,0.2262053940259931,0.006393267451967299,2.7865379222728612,0.19389897993790126,1.4843966076387216e-21,2.670526453116422e-13,concave,221.00676856495843,490.0272519395574,750.9475937029615,969.8855604832916,1307.5314587465364,1608.7432300042403,1958.0102664533713,2362.979554131523,0.04410113500900155
01154500,43.12618905,-72.4367549,14226.80468823,01080104,01,"CONNECTICUT RIVER AT NORTH WALPOLE, NH",33,66.638424,No_closure,NA,concave,1981,2007,2.4338,1.0521343932155862,0.19670584142082434,2.563579762015949e-6,3.365066386940303,0.16224517829915114,5.89684715027325e-28,5.901817895937635e-20,concave,913.5582234650747,1786.876428500672,2154.9178910135784,2351.3130867339705,2560.0190781031893,2693.64099740955,2812.3485067590623,2918.5559581570196,0.15195167091691505
01170100,42.70341695,-72.67064738,107.225507754,01080203,01,"GREEN RIVER NEAR COLRAIN, MA",25,131.752848,No_closure,NA,concave,1969,2016,0.79934,1.0760159115975236,0.07706273766907278,4.818466835017131e-28,4.010833537073276,0.7709028769899546,4.319981882842046e-5,7.589956754271848e-5,concave,29.433438664830078,67.35866057129105,102.30236229683821,130.7613920826803,173.71192878107883,211.16416690571762,253.84325511199393,302.46509860693266,0.09352905737795084
